canonical_item_name,division,group,category,modifier_flag,beverage_flag
WHIPPED  CREAM (P),MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,core_food,False,False
WHIPPED  CREAM.,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,core_food,False,False
WHIPPED CREAM,Bev Add-ons,Bev Add-ons,core_food,False,False
"WHIPPED CREAM   ,",FREE CHIMNEY TOP,FREE CHIMNEY TOP,modifier,True,False
"WHIPPED CREAM  ,",FREE CONUT TOP,FREE CONUT TOP,modifier,True,False
WHIPPED CREAM  .,FREE MINI TOP,FREE MINI TOP,modifier,True,False
"WHIPPED CREAM ,(P)",FREE MINI TOP,FREE MINI TOP,core_food,False,False
WHIPPED CREAM . (P),FREE CONUT TOP,FREE CONUT TOP,core_food,False,False
"WHIPPED CREAM,",FREE CHIMNEY TOP,FREE CHIMNEY TOP,core_food,False,False
WHIPPED CREAM...,Hot-Coffee Based,Free Whipped Cream,coffee_hot,True,True
WHITE CHOCOLATE DIP (R),EXTRA DIP,EXTRA DIP,core_food,False,False
WHITE CHOCOLATE DIP.(R),free dip,free dip,modifier,True,False
WHITE CHOCOLATE FLAVOUR,Bev Add-ons,Bev Add-ons,core_food,False,False
WHITE CHOCOLATE SAUCE,Bev Add-ons,Bev Add-ons,core_food,False,False
"WHITE CHOCOLATE SAUCE  ,(R)",FREE MINI TOP,FREE MINI TOP,modifier,True,False
"WHITE CHOCOLATE SAUCE , (R)",FREE CONUT TOP,FREE CONUT TOP,modifier,True,False
WHITE CHOCOLATE SAUCE .(R),FREE CHIMNEY TOP,FREE CHIMNEY TOP,modifier,True,False
"WHITE CHOCOLATE SAUCE, (R)",MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,core_food,False,False
WHITE CHOCOLATE SPREAD CHIMNEY,EXTRA CHIMNEY SPREAD,EXTRA CHIMNEY SPREAD,core_food,False,False
WHITE CHOCOLATE SPREAD CHIMNEY.,Free Chimney Cake Spreads,Free Chimney Cake Spreads,modifier,True,False
WHITE CHOCOLATE SPREAD CONUT,EXTRA CONUT SPREAD,EXTRA CONUT SPREAD,core_food,False,False
WHITE CHOCOLATE SPREAD CONUT.,Free Conut Spreads,Free Conut Spreads,modifier,True,False
WHITE CHOCOLATE SPREAD MINI.,free mini spread,FREE MINI SPREAD,modifier,True,False
WHITE MOCHA,Hot-Coffee Based,Hot-Coffee Based,coffee_hot,False,True
WHITE MOCHA FRAPPE,Frappes,Frappes,coffee_cold,False,True
WILD BERRIES,Hot and Cold Drinks,Hot and Cold Drinks,other_beverage,False,True
WILD BERRIES PASSION,Hot and Cold Drinks,Hot and Cold Drinks,other_beverage,False,True
[CARAMEL DRESSING],Hot-Coffee Based,Free Dressing,coffee_hot,True,True
[CHOCOLATE DRESSING],Hot-Coffee Based,Free Dressing,coffee_hot,True,True
[NO DRESSING],Hot-Coffee Based,Free Dressing,coffee_hot,True,True
[NO SPREAD],Free Conut Spreads,Free Conut Spreads,modifier,True,False
[SALTED CARAMEL DRESSING],Hot-Coffee Based,Free Dressing,coffee_hot,True,True
[STRAWBERRY DRESSING],Hot-Coffee Based,Free Dressing,coffee_hot,True,True
switch to ice cream.,FREE MINI TOP,FREE MINI TOP,core_food,False,False
